Tracker,Subject,Description,Status,Fase
Task,D-01 - Objetivo da solução,"Issue D-01 (Discovery) - Objetivo da solução.
Status atual: Closed.",Closed,Discovery
Task,D-02 - Fluxo fim a fim (sequence diagram),"Issue D-02 (Discovery) - Fluxo fim a fim (sequence diagram).
Status atual: Closed.",Closed,Discovery
Task,D-03 - Entidades principais,"Issue D-03 (Discovery) - Entidades principais.
Status atual: Closed.",Closed,Discovery
Task,D-04 - Integrações macro,"Issue D-04 (Discovery) - Integrações macro.
Status atual: Closed.",Closed,Discovery
Task,D-05 - Requisitos funcionais detalhados,"Issue D-05 (Discovery) - Requisitos funcionais detalhados.
Status atual: Closed.",Closed,Discovery
Task,D-06 - Requisitos não funcionais,"Issue D-06 (Discovery) - Requisitos não funcionais.
Status atual: Closed.",Closed,Discovery
Task,D-07 - Dados pessoais sensíveis (LGPD),"Issue D-07 (Discovery) - Dados pessoais sensíveis (LGPD).
Status atual: Closed.",Closed,Discovery
Task,D-08 - Papéis (RBAC),"Issue D-08 (Discovery) - Papéis (RBAC).
Status atual: Closed.",Closed,Discovery
Task,D-09 - Padrão correlation-id e logs estruturados,"Issue D-09 (Discovery) - Padrão correlation-id e logs estruturados.
Status atual: Closed.",Closed,Discovery
Task,D-10 - Métricas principais,"Issue D-10 (Discovery) - Métricas principais.
Status atual: Closed.",Closed,Discovery
Task,B-01 - Estrutura base backend,"Issue B-01 (Delivery – Backend) - Estrutura base backend.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-02 - main.py + middleware correlation-id,"Issue B-02 (Delivery – Backend) - main.py + middleware correlation-id.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-03 - Conexão banco (SQLAlchemy),"Issue B-03 (Delivery – Backend) - Conexão banco (SQLAlchemy).
Status atual: Closed.",Closed,Delivery – Backend
Task,B-04 - Modelos ORM Proposta/Simulacao,"Issue B-04 (Delivery – Backend) - Modelos ORM Proposta/Simulacao.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-05 - Schemas Pydantic,"Issue B-05 (Delivery – Backend) - Schemas Pydantic.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-06 - Endpoint POST /propostas,"Issue B-06 (Delivery – Backend) - Endpoint POST /propostas.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-07 - Endpoint GET /propostas/{id}/status,"Issue B-07 (Delivery – Backend) - Endpoint GET /propostas/{id}/status.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-08 - Endpoint GET /propostas/{id}/detalhes,"Issue B-08 (Delivery – Backend) - Endpoint GET /propostas/{id}/detalhes.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-09 - Validações de negócio adicionais,"Issue B-09 (Delivery – Backend) - Validações de negócio adicionais.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-10 - Função processar_proposta,"Issue B-10 (Delivery – Backend) - Função processar_proposta.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-11 - Chamada Site A (dados de contrato),"Issue B-11 (Delivery – Backend) - Chamada Site A (dados de contrato).
Status atual: Closed.",Closed,Delivery – Backend
Task,B-12 - Chamada Sistema B (taxas),"Issue B-12 (Delivery – Backend) - Chamada Sistema B (taxas).
Status atual: Closed.",Closed,Delivery – Backend
Task,B-13 - Motor de simulação,"Issue B-13 (Delivery – Backend) - Motor de simulação.
Status atual: Closed.",Closed,Delivery – Backend
